,country,num_article,population,coverage,B,C,FA,GA,Start,Stub,high_quality,region
0,Afghanistan,320,36500000.0,0.0008767123287671233,8.0,49.0,1.0,11.0,98.0,153.0,3.75,ASIA
1,Albania,457,2900000.0,0.015758620689655174,3.0,62.0,0.0,3.0,147.0,242.0,0.6564551422319475,EUROPE
2,Algeria,116,42700000.0,0.00027166276346604217,2.0,11.0,0.0,2.0,44.0,57.0,1.7241379310344827,AFRICA
3,Andorra,34,80000.0,0.042499999999999996,0.0,2.0,0.0,0.0,8.0,24.0,0.0,EUROPE
4,Angola,106,30400000.0,0.00034868421052631577,2.0,9.0,0.0,0.0,21.0,74.0,0.0,AFRICA
5,Antigua and Barbuda,24,100000.0,0.024,0.0,8.0,0.0,0.0,9.0,7.0,0.0,LATIN AMERICA AND THE CARIBBEAN
6,Argentina,491,44500000.0,0.0011033707865168538,9.0,52.0,7.0,5.0,178.0,240.0,2.4439918533604885,LATIN AMERICA AND THE CARIBBEAN
7,Armenia,195,3000000.0,0.0065,0.0,24.0,2.0,3.0,57.0,109.0,2.564102564102564,ASIA
8,Australia,1561,24100000.0,0.0064771784232365145,12.0,176.0,10.0,29.0,437.0,897.0,2.498398462524023,OCEANIA
9,Austria,333,8800000.0,0.003784090909090909,5.0,41.0,0.0,3.0,101.0,183.0,0.9009009009009009,EUROPE
10,Azerbaijan,179,9900000.0,0.001808080808080808,1.0,23.0,0.0,1.0,111.0,43.0,0.5586592178770949,ASIA
11,Bahamas,20,400000.0,0.005,0.0,4.0,0.0,0.0,9.0,7.0,0.0,LATIN AMERICA AND THE CARIBBEAN
12,Bahrain,42,1500000.0,0.0028,0.0,9.0,0.0,1.0,16.0,16.0,2.380952380952381,ASIA
13,Bangladesh,319,166400000.0,0.00019170673076923078,6.0,44.0,1.0,2.0,112.0,154.0,0.9404388714733543,ASIA
14,Barbados,14,300000.0,0.004666666666666666,1.0,4.0,0.0,0.0,3.0,6.0,0.0,LATIN AMERICA AND THE CARIBBEAN
15,Belarus,72,9500000.0,0.0007578947368421053,1.0,9.0,2.0,0.0,29.0,31.0,2.7777777777777777,EUROPE
16,Belgium,520,11400000.0,0.004561403508771929,6.0,24.0,0.0,1.0,171.0,318.0,0.19230769230769232,EUROPE
17,Belize,16,400000.0,0.004,0.0,5.0,0.0,0.0,7.0,4.0,0.0,LATIN AMERICA AND THE CARIBBEAN
18,Benin,91,11500000.0,0.000791304347826087,0.0,12.0,3.0,4.0,27.0,45.0,7.6923076923076925,AFRICA
19,Bhutan,33,800000.0,0.004125,0.0,2.0,0.0,3.0,7.0,21.0,9.090909090909092,ASIA
20,Bolivia,183,11300000.0,0.0016194690265486724,0.0,29.0,1.0,1.0,71.0,81.0,1.092896174863388,LATIN AMERICA AND THE CARIBBEAN
21,Bosnia-Herzegovina,170,3500000.0,0.004857142857142857,2.0,28.0,1.0,4.0,70.0,65.0,2.941176470588235,EUROPE
22,Botswana,66,2200000.0,0.003,1.0,12.0,0.0,1.0,28.0,24.0,1.5151515151515151,AFRICA
23,Brazil,547,209400000.0,0.0002612225405921681,5.0,31.0,0.0,6.0,119.0,386.0,1.0968921389396709,LATIN AMERICA AND THE CARIBBEAN
24,Bulgaria,223,7000000.0,0.003185714285714286,4.0,31.0,0.0,2.0,101.0,85.0,0.8968609865470852,EUROPE
25,Burkina Faso,95,20300000.0,0.00046798029556650243,2.0,11.0,1.0,2.0,35.0,44.0,3.1578947368421053,AFRICA
26,Burundi,75,11800000.0,0.000635593220338983,0.0,5.0,0.0,2.0,22.0,46.0,2.666666666666667,AFRICA
